size 		 Usual Mergesort 		 Improved Mergesort 		 Usual Quicksort 
20		6		3		2
40		12		5		5
60		20		8		7
80		43		11		8
100		42		14		9
120		70		22		15
140		77		24		16
160		128		61		18
180		191		68		27
200		172		51		45
220		160		35		25
240		184		41		30
260		269		50		33
280		206		45		30
300		233		48		34
320		257		50		33
340		285		63		33
360		290		52		56
380		317		56		39
400		349		60		43
420		421		64		42
440		483		67		46
460		444		70		48
480		585		87		72
500		585		77		51
520		599		100		57
540		650		94		64
560		1196		164		109
580		784		109		77
600		766		104		68
620		809		108		76
640		1115		104		71
660		839		107		72
680		900		110		75
700		1245		201		75
720		1099		127		89
740		1113		130		94
760		1205		122		87
780		1170		128		84
800		1223		131		91
820		1305		135		90
840		1582		177		90
860		1351		142		95
880		1452		147		97
900		1572		186		101
920		1575		153		105
940		1609		158		110
960		1689		159		111
980		1757		191		133
1000		2283		193		216
